"전체경로","파일명","확장자","크기KB","수정일","1단계폴더","2단계폴더"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\README.md","README.md","md","1.83","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\tsconfig.json","tsconfig.json","json","0.66","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\app\globals.css","globals.css","css","0.68","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\00_governance_pm\00_project_overview.md","00_project_overview.md","md","1.85","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\00_governance_pm\01_decision_log.md","01_decision_log.md","md","0.61","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\01_business_strategy\00_business_goal.md","00_business_goal.md","md","1.15","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\02_product_planning\00_service_definition_and_full_flow.md","00_service_definition_and_full_flow.md","md","1.52","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\02_product_planning\01_mvp_cut_policy.md","01_mvp_cut_policy.md","md","0.97","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\03_ux_ui_design\00_design_direction_and_ia.md","00_design_direction_and_ia.md","md","2.11","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\03_ux_ui_design\01_screen_layout_spec.md","01_screen_layout_spec.md","md","1.52","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\04_requirements\00_concept_mockup_scope_and_requirements.md","00_concept_mockup_scope_and_requirements.md","md","2.08","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\05_development\00_mockup_development_brief.md","00_mockup_development_brief.md","md","1.16","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\05_development\01_vibe_coding_instruction_concept_mockup.md","01_vibe_coding_instruction_concept_mockup.md","md","9.5","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\05_development\02_ready_to_paste_prompt.md","02_ready_to_paste_prompt.md","md","2.31","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\06_ai_data_security\00_security_ai_rag_policy.md","00_security_ai_rag_policy.md","md","1.83","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\07_quality_assurance\00_review_checklists.md","00_review_checklists.md","md","2.68","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\12_legal_compliance\00_disclaimers.md","00_disclaimers.md","md","0.92","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs\ax-work-clinic-concept-mockup-docs\docs\99_archive\README.md","README.md","md","0.27","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs.zip","docs.zip","zip","37.54","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\README.md","README.md","md","3.32","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\00_governance_pm\00_project_overview.md","00_project_overview.md","md","1.85","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\00_governance_pm\01_decision_log.md","01_decision_log.md","md","0.61","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\01_business_strategy\00_business_goal.md","00_business_goal.md","md","1.15","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\02_product_planning\00_service_definition_and_full_flow.md","00_service_definition_and_full_flow.md","md","1.52","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\02_product_planning\01_mvp_cut_policy.md","01_mvp_cut_policy.md","md","0.97","2026-06-17","Desktop","AX강사준비"
